LocationID,Borough,Zone,service_zone,latitude,longitude
101,Queens,Glen Oaks,Boro Zone,40.74372178358234,-73.7090705910381
102,Queens,Glendale,Boro Zone,40.70267935991724,-73.88199872966685
106,Brooklyn,Gowanus,Boro Zone,40.67336116761581,-73.99176357560758
107,Manhattan,Gramercy,Yellow Zone,40.7373483763209,-73.98331035324627
108,Brooklyn,Gravesend,Boro Zone,40.5891103441557,-73.98037615109405
109,Staten Island,Great Kills,Boro Zone,40.54883071591013,-74.15271468576506
110,Staten Island,Great Kills Park,Boro Zone,40.54326752500025,-74.12584640657694
111,Brooklyn,Green-Wood Cemetery,Boro Zone,40.652115802564566,-73.99098890276058
112,Brooklyn,Greenpoint,Boro Zone,40.72883034713889,-73.94847219727068
113,Manhattan,Greenwich Village North,Yellow Zone,40.732485951827215,-73.99462821715102
114,Manhattan,Greenwich Village South,Yellow Zone,40.72861173158826,-73.99867794660439
115,Staten Island,Grymes Hill/Clifton,Boro Zone,40.620127545058025,-74.09248610232093
116,Manhattan,Hamilton Heights,Boro Zone,40.827535259805,-73.94736754322352
117,Queens,Hammels/Arverne,Boro Zone,40.59605582982405,-73.7760841015515
118,Staten Island,Heartland Village/Todt Hill,Boro Zone,40.58563106211795,-74.13707013132111
119,Bronx,Highbridge,Boro Zone,40.83673003133371,-73.92696621099432
120,Manhattan,Highbridge Park,Boro Zone,40.84600407205054,-73.93080685174128
121,Queens,Hillcrest/Pomonok,Boro Zone,40.727347194852854,-73.7996883075719
122,Queens,Hollis,Boro Zone,40.7110684671173,-73.76156418515168
123,Brooklyn,Homecrest,Boro Zone,40.600204802741764,-73.96519830476026
124,Queens,Howard Beach,Boro Zone,40.65956676860808,-73.85000504286926
125,Manhattan,Hudson Sq,Yellow Zone,40.72537634053721,-74.00717569200464
126,Bronx,Hunts Point,Boro Zone,40.81391819218656,-73.88497727293742
127,Manhattan,Inwood,Boro Zone,40.86506268329313,-73.92032547185646
128,Manhattan,Inwood Hill Park,Boro Zone,40.87218760932645,-73.92543208550923
129,Queens,Jackson Heights,Boro Zone,40.75905747396255,-73.887406379492
130,Queens,Jamaica,Boro Zone,40.70327388330366,-73.80034752467935
131,Queens,Jamaica Estates,Boro Zone,40.720412328133044,-73.77137449507258
132,Queens,JFK Airport,Airports,40.64260452171656,-73.77826365889905
133,Brooklyn,Kensington,Boro Zone,40.639387203887985,-73.9743361977043
134,Queens,Kew Gardens,Boro Zone,40.70875017981035,-73.82999270305426
135,Queens,Kew Gardens Hills,Boro Zone,40.7294099643631,-73.823985513876
136,Bronx,Kingsbridge Heights,Boro Zone,40.864802731087586,-73.90571996623521
137,Manhattan,Kips Bay,Yellow Zone,40.74035923571342,-73.97711937073461
138,Queens,LaGuardia Airport,Airports,40.77486738951863,-73.87280371468938
139,Queens,Laurelton,Boro Zone,40.67774936743142,-73.74332308425686
140,Manhattan,Lenox Hill East,Yellow Zone,40.76550681823188,-73.95456804213484
141,Manhattan,Lenox Hill West,Yellow Zone,40.76683881658485,-73.95971267878048
142,Manhattan,Lincoln Square East,Yellow Zone,40.77390598538878,-73.98135241373991
143,Manhattan,Lincoln Square West,Yellow Zone,40.775770209570155,-73.98797296641922
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,40.72058145150745,-73.99740668419741
145,Queens,Long Island City/Hunters Point,Boro Zone,40.746589967903795,-73.94869919181788
146,Queens,Long Island City/Queens Plaza,Boro Zone,40.75452889411278,-73.93363409454497
147,Bronx,Longwood,Boro Zone,40.8191985303461,-73.89819293473161
148,Manhattan,Lower East Side,Yellow Zone,40.719211674206385,-73.99071836266104
149,Brooklyn,Madison,Boro Zone,40.60655798592629,-73.94847420881219
150,Brooklyn,Manhattan Beach,Boro Zone,40.58026232412454,-73.9428842620732
151,Manhattan,Manhattan Valley,Yellow Zone,40.797866268006594,-73.96780839097354
152,Manhattan,Manhattanville,Boro Zone,40.81757720019342,-73.95432487462763
153,Manhattan,Marble Hill,Boro Zone,40.875600405945825,-73.91106257665844
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,40.59311866661012,-73.89612330695002
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,40.61778853887326,-73.90676934231902
156,Staten Island,Mariners Harbor,Boro Zone,40.6287483754866,-74.164859304761
157,Queens,Maspeth,Boro Zone,40.724039356601956,-73.90192569084356
158,Manhattan,Meatpacking/West Village West,Yellow Zone,40.73524806667926,-74.00838575701171
159,Bronx,Melrose South,Boro Zone,40.81825946050705,-73.91358298976434
160,Queens,Middle Village,Boro Zone,40.718503819756,-73.88071224786468
161,Manhattan,Midtown Center,Yellow Zone,40.75822648122193,-73.97743183810948
162,Manhattan,Midtown East,Yellow Zone,40.75681615531285,-73.97214548508123
163,Manhattan,Midtown North,Yellow Zone,40.7644254534029,-73.97836698801483
164,Manhattan,Midtown South,Yellow Zone,40.748807666813384,-73.98592880648783
165,Brooklyn,Midwood,Boro Zone,40.620958700087925,-73.9546029482622
166,Manhattan,Morningside Heights,Boro Zone,40.80957022827249,-73.96181526438258
167,Bronx,Morrisania/Melrose,Boro Zone,40.82798803567739,-73.90444259410347
168,Bronx,Mott Haven/Port Morris,Boro Zone,40.807439530866155,-73.91705803171561
169,Bronx,Mount Hope,Boro Zone,40.84911482191479,-73.90502146000487
170,Manhattan,Murray Hill,Yellow Zone,40.74765428110261,-73.97694199243666
171,Queens,Murray Hill-Queens,Boro Zone,40.76894366878372,-73.80888071716296
172,Staten Island,New Dorp/Midland Beach,Boro Zone,40.572465420142315,-74.1039265024832
173,Queens,North Corona,Boro Zone,40.7517792439234,-73.86308370078245
174,Bronx,Norwood,Boro Zone,40.876852592168376,-73.87776056184659
175,Queens,Oakland Gardens,Boro Zone,40.74327384933848,-73.75735677160738
176,Staten Island,Oakwood,Boro Zone,40.5620606070116,-74.11961243241754
177,Brooklyn,Ocean Hill,Boro Zone,40.677098612914165,-73.91110579130644
178,Brooklyn,Ocean Parkway South,Boro Zone,40.61763318143354,-73.97068877904167
179,Queens,Old Astoria,Boro Zone,40.77142534181405,-73.92681235822364
180,Queens,Ozone Park,Boro Zone,40.675163851595215,-73.8493643543426
181,Brooklyn,Park Slope,Boro Zone,40.67201914054477,-73.97904489684593
182,Bronx,Parkchester,Boro Zone,40.8374043586992,-73.85794162069101
183,Bronx,Pelham Bay,Boro Zone,40.849568646842485,-73.83185405296466
184,Bronx,Pelham Bay Park,Boro Zone,40.86478541717727,-73.80461083821233
185,Bronx,Pelham Parkway,Boro Zone,40.853471658680135,-73.85518043318032
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,40.748476361762066,-73.99245532771059
187,Staten Island,Port Richmond,Boro Zone,40.62545371993685,-74.14115248206298
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,40.65756006307841,-73.94520015758998
189,Brooklyn,Prospect Heights,Boro Zone,40.67718248662547,-73.9682696321247
190,Brooklyn,Prospect Park,Boro Zone,40.66060756766964,-73.97095007383226
191,Queens,Queens Village,Boro Zone,40.7142783033823,-73.74112042075014
192,Queens,Queensboro Hill,Boro Zone,40.74441099850122,-73.81519253564896
193,Queens,Queensbridge/Ravenswood,Boro Zone,40.76172443076375,-73.94028630330551
194,Manhattan,Randalls Island,Yellow Zone,40.791432958230416,-73.92102903250012
195,Brooklyn,Red Hook,Boro Zone,40.67546168386482,-74.00954931328707
196,Queens,Rego Park,Boro Zone,40.723647858990645,-73.86401021203557
197,Queens,Richmond Hill,Boro Zone,40.69300047422095,-73.8290435569059
198,Queens,Ridgewood,Boro Zone,40.70452153360265,-73.90199375122218
199,Bronx,Rikers Island,Boro Zone,40.79204594322053,-73.88353640132814
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,40.89985962111482,-73.9064606078973
201,Queens,Rockaway Park,Boro Zone,40.57746871833951,-73.84724647855154
202,Manhattan,Roosevelt Island,Boro Zone,40.76116791390813,-73.9504104879777
203,Queens,Rosedale,Boro Zone,40.65950177704542,-73.73671880894393
204,Staten Island,Rossville/Woodrow,Boro Zone,40.54074268900547,-74.20697295086076
205,Queens,Saint Albans,Boro Zone,40.69221897186053,-73.76261565643125
206,Staten Island,Saint George/New Brighton,Boro Zone,40.635959397914206,-74.12316375647318
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,40.76351135493737,-73.8993250159724
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,40.82468613841345,-73.82488634213514
209,Manhattan,Seaport,Yellow Zone,40.708489691401454,-74.0023597244511
210,Brooklyn,Sheepshead Bay,Boro Zone,40.59376160849986,-73.94433604544147
211,Manhattan,SoHo,Yellow Zone,40.72389907146954,-74.00137472995894
212,Bronx,Soundview/Bruckner,Boro Zone,40.82827698563397,-73.86990193430303
213,Bronx,Soundview/Castle Hill,Boro Zone,40.81649076255543,-73.86079103704854
214,Staten Island,South Beach/Dongan Hills,Boro Zone,40.58661906553009,-74.0858854521268
215,Queens,South Jamaica,Boro Zone,40.69419030135387,-73.79036753786858
216,Queens,South Ozone Park,Boro Zone,40.677071232561815,-73.82051327052824
217,Brooklyn,South Williamsburg,Boro Zone,40.70324961023511,-73.95684576885631
218,Queens,Springfield Gardens North,Boro Zone,40.67362002793791,-73.77211628034719
219,Queens,Springfield Gardens South,Boro Zone,40.66022849561362,-73.76100796042165
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,40.88190093858092,-73.91187726317209
221,Staten Island,Stapleton,Boro Zone,40.62022397758676,-74.0813347613692
222,Brooklyn,Starrett City,Boro Zone,40.64687190971395,-73.88213751690957
223,Queens,Steinway,Boro Zone,40.77819332819886,-73.9066718300492
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,40.73172815915545,-73.9778420751296
225,Brooklyn,Stuyvesant Heights,Boro Zone,40.688785067199376,-73.93144485223605
226,Queens,Sunnyside,Boro Zone,40.735273410282204,-73.92932128275629
227,Brooklyn,Sunset Park East,Boro Zone,40.64159763701884,-74.00679455179093
228,Brooklyn,Sunset Park West,Boro Zone,40.65361820689974,-74.00996047157157
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,40.7565892984895,-73.96517419892116
230,Manhattan,Times Sq/Theatre District,Yellow Zone,40.75984474002954,-73.98417616082217
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,40.71869564100593,-74.00671162438947
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,40.71538608410815,-73.98230670494594
233,Manhattan,UN/Turtle Bay South,Yellow Zone,40.74917209822247,-73.97125597713074
234,Manhattan,Union Sq,Yellow Zone,40.740313464588,-73.99047761896912
235,Bronx,University Heights/Morris Heights,Boro Zone,40.853502930121365,-73.9149683294755
236,Manhattan,Upper East Side North,Yellow Zone,40.780491475734934,-73.95697238530639
237,Manhattan,Upper East Side South,Yellow Zone,40.76854188466483,-73.96569149194593
238,Manhattan,Upper West Side North,Yellow Zone,40.791766246782664,-73.97281451745027
239,Manhattan,Upper West Side South,Yellow Zone,40.78410736455398,-73.97827334184863
240,Bronx,Van Cortlandt Park,Boro Zone,40.89474641912296,-73.87906719456856
241,Bronx,Van Cortlandt Village,Boro Zone,40.875975847657294,-73.89645014373953
242,Bronx,Van Nest/Morris Park,Boro Zone,40.849596584398014,-73.83987896147441
243,Manhattan,Washington Heights North,Boro Zone,40.858670286631565,-73.93282431823545
244,Manhattan,Washington Heights South,Boro Zone,40.84121866986585,-73.94166681405747
245,Staten Island,West Brighton,Boro Zone,40.62847847510301,-74.10317060675216
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,40.75243725196301,-74.00451257207624
247,Bronx,West Concourse,Boro Zone,40.82921147450688,-73.92505918269549
248,Bronx,West Farms/Bronx River,Boro Zone,40.834677199929715,-73.8710104534109
249,Manhattan,West Village,Yellow Zone,40.73461155598208,-74.00249690862721
250,Bronx,Westchester Village/Unionport,Boro Zone,40.83249068863188,-73.84947867538966
251,Staten Island,Westerleigh,Boro Zone,40.61960551615154,-74.12323684099184
252,Queens,Whitestone,Boro Zone,40.78836064801891,-73.81539429860646
253,Queens,Willets Point,Boro Zone,40.760086336845596,-73.84147454859088
254,Bronx,Williamsbridge/Olinville,Boro Zone,40.88322332930061,-73.85826965181708
255,Brooklyn,Williamsburg (North Side),Boro Zone,40.71883419223123,-73.95713377569
256,Brooklyn,Williamsburg (South Side),Boro Zone,40.71097712969061,-73.95910788386416
257,Brooklyn,Windsor Terrace,Boro Zone,40.653664495211935,-73.97723931118517
258,Queens,Woodhaven,Boro Zone,40.690126367813555,-73.85663905307199
259,Bronx,Woodlawn/Wakefield,Boro Zone,40.89910277319802,-73.85635111728705
260,Queens,Woodside,Boro Zone,40.74679779446832,-73.90371327894319
261,Manhattan,World Trade Center,Yellow Zone,40.70897561889369,-74.01291937551196
262,Manhattan,Yorkville East,Yellow Zone,40.776534228993924,-73.94582981800806
263,Manhattan,Yorkville West,Yellow Zone,40.77849586877833,-73.95120799165345
